Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MKU,Chrome 125.0.0.0,,,13-06-2024 14:09:11,13-06-2024 14:09:46,35.438s,PASSED
,,,,,,,
Test Cases/MKU/mku,Chrome 125.0.0.0,,,13-06-2024 14:09:11,13-06-2024 14:09:46,35.051s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:09:13,13-06-2024 14:09:16,3.183s,PASSED
"navigateToUrl(""https://mkuniversity.ac.in/new/"")",Chrome 125.0.0.0,,,13-06-2024 14:09:16,13-06-2024 14:09:33,17.279s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_University""))",Chrome 125.0.0.0,,,13-06-2024 14:09:33,13-06-2024 14:09:34,0.584s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_Authorities""))",Chrome 125.0.0.0,,,13-06-2024 14:09:34,13-06-2024 14:09:34,0.379s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 14:09:34,13-06-2024 14:09:34,0.380s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Academics""))",Chrome 125.0.0.0,,,13-06-2024 14:09:34,13-06-2024 14:09:35,0.323s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Examination""))",Chrome 125.0.0.0,,,13-06-2024 14:09:35,13-06-2024 14:09:35,0.333s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Library""))",Chrome 125.0.0.0,,,13-06-2024 14:09:35,13-06-2024 14:09:37,1.926s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Madurai Kamaraj University Library/a_About Library""))",Chrome 125.0.0.0,,,13-06-2024 14:09:37,13-06-2024 14:09:38,0.782s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_About Dr.T.P.M.Library/a_Rules and Regulations""))",Chrome 125.0.0.0,,,13-06-2024 14:09:38,13-06-2024 14:09:39,0.652s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Library Rules and Regulations/a_Books""))",Chrome 125.0.0.0,,,13-06-2024 14:09:39,13-06-2024 14:09:39,0.466s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Books - Madurai Kamaraj University Library/a_Periodicals""))",Chrome 125.0.0.0,,,13-06-2024 14:09:39,13-06-2024 14:09:39,0.462s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Periodicals in Dr.T.P.M.Library/a_E-journals""))",Chrome 125.0.0.0,,,13-06-2024 14:09:39,13-06-2024 14:09:40,0.703s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Madurai Kamaraj University Library/a_Open Access""))",Chrome 125.0.0.0,,,13-06-2024 14:09:40,13-06-2024 14:09:41,0.802s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Untitled Document/a_Search""))",Chrome 125.0.0.0,,,13-06-2024 14:09:41,13-06-2024 14:09:41,0.395s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Search Theses - Madurai Kamaraj Univer_7ccb62/a_Photo Gallery""))",Chrome 125.0.0.0,,,13-06-2024 14:09:41,13-06-2024 14:09:42,0.666s,PASSED
"click(findTestObject(""Object Repository/13-06-23/Page_Album - Madurai Kamaraj University Library/a_Services""))",Chrome 125.0.0.0,,,13-06-2024 14:09:42,13-06-2024 14:09:44,1.866s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:09:44,13-06-2024 14:09:46,2.508s,PASSED
